"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group E","high school","standard","none","63","58","57"
"female","group D","some college","free/reduced","none","39","45","47"
"male","group D","some college","standard","none","59","58","60"
"female","group D","some high school","free/reduced","completed","53","57","66"
"male","group B","master's degree","standard","completed","84","78","81"
"female","group D","high school","standard","none","66","72","74"
"male","group C","some high school","standard","completed","67","66","60"
"female","group D","some college","free/reduced","none","63","75","80"
"female","group D","high school","standard","completed","50","61","68"
"female","group D","some college","standard","completed","70","82","77"
